,0,1,2,3,4,5
5~10,10.266378,9.295334,9.094377,9.078299,8.893694,8.493286
5~15,9.518586,7.480367,7.351789,7.389285,6.638877,6.893248
5~20,8.697702,7.004831,6.41859,6.105311,5.897885,5.895937
5~25,7.394053,5.702962,5.155987,5.257783,4.931235,4.637455
5~30,6.725576,4.824701,4.628533,4.452478,4.360609,4.155297
5~35,5.87001,4.042822,3.695979,3.778827,3.413958,3.453852
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
