,0,1,2,3,4,5
5~10,10.703595,10.84765,10.544703,10.278166,10.067738,9.765306
5~15,9.097849,7.22761,7.491037,5.961301,6.613529,5.429154
5~20,7.570209,5.574976,4.839671,4.102229,4.068019,4.333902
5~25,6.777085,4.680017,3.952284,2.947964,3.598599,3.432171
5~30,5.520655,4.032565,2.600119,2.829784,2.783738,2.269898
5~35,4.047232,2.84929,2.430173,2.507885,2.090545,2.20697
